therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Nelarabine,T-cell acute lymphoblastic leukemia,,,*,,,,
Nelarabine,T-cell lymphoblastic lymphoma,,,*,,,,
Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,"
NERLYNX as a single agent is indicated for the extended adjuvant treatment of adult patients with early-stage human epidermal growth factor receptor 2 (HER2)-positive breast cancer, to follow adjuvant trastuzumab based therapy
 
  [see Clinical Studies (
  
   14.1)]
 
  .

 
 


1.2 Advanced or Metastatic Breast Cancer
NERLYNX in combination with capecitabine is indicated for the treatment of adult patients with advanced or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2 based regimens in the metastatic setting
 
  [see Clinical Studies (
  
   14.2)]
 
  .",*,Yes,,,
Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,"
NERLYNX as a single agent is indicated for the extended adjuvant treatment of adult patients with early-stage human epidermal growth factor receptor 2 (HER2)-positive breast cancer, to follow adjuvant trastuzumab based therapy
 
  [see Clinical Studies (
  
   14.1)]
 
  .

 
 


1.2 Advanced or Metastatic Breast Cancer
NERLYNX in combination with capecitabine is indicated for the treatment of adult patients with advanced or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2 based regimens in the metastatic setting
 
  [see Clinical Studies (
  
   14.2)]
 
  .",*,Yes,,,
Netupitant and Palonosetron Hydrochloride,Nausea,AKYNZEO- netupitant and palonosetron capsule,,*,,,,
Netupitant and Palonosetron Hydrochloride,vomiting,AKYNZEO- netupitant and palonosetron capsule,,*,,,,
Pegfilgrastim,Neutropenia,NEULASTA- pegfilgrastim kit,,*,,,,
Filgrastim,Neutropenia,,,*,,,,
Sorafenib Tosylate,Hepatocellular carcinoma,"NEXAVAR- sorafenib tablet, film coated","
NEXAVAR® is indicated for the treatment of patients with unresectable hepatocellular carcinoma (HCC).",*,,,,
Sorafenib Tosylate,Renal cell carcinoma,"NEXAVAR- sorafenib tablet, film coated","
NEXAVAR is indicated for the treatment of patients with advanced renal cell carcinoma (RCC).",*,Yes,,,
Sorafenib Tosylate,Thyroid cancer,"NEXAVAR- sorafenib tablet, film coated",,*,,,,
Nilutamide,Prostate cancer,NILUTAMIDE tablet,,*,,,,
Nilotinib,Chronic myelogenous leukemia,TASIGNA- nilotinib capsule,,*,,,,
Nilutamide,Prostate cancer,NILUTAMIDE tablet,,*,,,,
Ixazomib Citrate,Multiple myeloma,,,*,,,,
Niraparib Tosylate Monohydrate,primary peritoneal cancer,,,*,,,,
Niraparib Tosylate Monohydrate,fallopian tube,,,*,,,,
Niraparib Tosylate Monohydrate,Ovarian epithelial,,,*,,,,
Niraparib Tosylate Monohydrate and Abiraterone Acetate,Prostate cancer,"AKEEGA- niraparib tosylate monohydrate and abiraterone acetate tablet, film coated",,*,,,,
Nirogacestat Hydrobromide,Desmoid tumors,"OGSIVEO- nirogacestat tablet, film coated",,*,,,,
Filgrastim,Neutropenia,,,*,,,,
Nivolumab,hepatocellular carcinoma,OPDIVO- nivolumab injection,"

•

OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC). 

•
OPDIVO, in combination with ipilimumab, is indicated for the treatment of adult patients with unresectable or metastatic HCC who have been previously treated with sorafenib.",OPDIVO,Yes,Yes,,
Nivolumab,non-small cell lung cancer,OPDIVO- nivolumab injection,"
OPDIVO, in combination with platinum-doublet chemotherapy, is indicated as neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) non-small cell lung cancer (NSCLC).
 


1.4 Neoadjuvant and Adjuvant Treatment of Resectable Non-Small Cell Lung Cancer 
OPDIVO, in combination with platinum-doublet chemotherapy, is indicated for the neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) NSCLC and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements, followed by single-agent OPDIVO as adjuvant treatment after surgery.
 


1.5 Metastatic Non-Small Cell Lung Cancer 

•
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with metastatic NSCLC whose tumors express PD-L1 (≥1%) as determined by an FDA-authorized test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations.
•
OPDIVO, in combination with ipilimumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent NSCLC, with no EGFR or ALK genomic tumor aberrations.
•
OPDIVO is indicated for the treatment of adult patients with metastatic NSCLC with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving OPDIVO.","PD-L1, EGFR, ALK, epidermal growth factor receptor, OPDIVO",Yes,Yes,,
Nivolumab,gastric (stomach) cancer,OPDIVO- nivolumab injection,,*,,,,
Nivolumab,melanoma,OPDIVO- nivolumab injection,"
OPDIVO, as a single agent or in combination with ipilimumab, is indicated for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic melanoma.
 


1.2 Adjuvant Treatment of Melanoma 
OPDIVO is indicated for the adjuvant treatment of adult and pediatric patients 12 years and older with completely resected Stage IIB, Stage IIC, Stage III, or Stage IV melanoma.",OPDIVO,Yes,,,
Nivolumab,urothelial carcinoma,OPDIVO- nivolumab injection,"
OPDIVO is indicated for the adjuvant treatment of adult patients with urothelial carcinoma (UC) who are at high risk of recurrence after undergoing radical resection of UC [see Clinical Studies (14.10)].
OPDIVO, in combination with cisplatin and gemcitabine, is indicated for the first-line treatment of adult patients with unresectable or metastatic urothelial carcinoma.
OPDIVO is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma who:

•
have disease progression during or following platinum-containing chemotherapy.
•
have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.",OPDIVO,Yes,Yes,,
Nivolumab,malignant pleural mesothelioma,OPDIVO- nivolumab injection,"
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with unresectable malignant pleural mesothelioma.",OPDIVO,,Yes,,
Nivolumab,renal cell carcinoma,OPDIVO- nivolumab injection,"

•
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with intermediate or poor risk advanced RCC.
•
OPDIVO, in combination with cabozantinib, is indicated for the first-line treatment of adult patients with advanced RCC.
•
OPDIVO, as a single agent, is indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.",OPDIVO,Yes,Yes,,
Nivolumab,squamous cell carcinoma of the head and neck,OPDIVO- nivolumab injection,"
OPDIVO is indicated for the treatment of adult patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) with disease progression on or after platinum-based therapy.",OPDIVO,Yes,,,
Nivolumab,colorectal cancer,OPDIVO- nivolumab injection,"

•
OPDIVO, in combination with ipilimumab, is indicated for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC). 
•

OPDIVO, as a single agent, is indicated for the treatment of adult and pediatric patients 12 years and older with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer (CRC) that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan.",OPDIVO,Yes,,,
Nivolumab,gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,,*,,,,
Nivolumab,classic Hodgkin lymphoma,OPDIVO- nivolumab injection,,*,,,,
Nivolumab,esophageal cancer,OPDIVO- nivolumab injection,"

•
OPDIVO is indicated for the adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in adult patients who have received neoadjuvant chemoradiotherapy (CRT).
•
OPDIVO, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.1)].
•
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.1)].
•
OPDIVO is indicated for the treatment of adult patients with unresectable advanced, recurrent or metastatic esophageal squamous cell carcinoma (ESCC) after prior fluoropyrimidine- and platinum-based chemotherapy.","PD-L1, OPDIVO",Yes,Yes,,
Nivolumab,esophageal cancer or gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,,*,,,,
Nivolumab and Hyaluronidase-nvhy,hepatocellular carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","

•

OPDIVO QVANTIG, as monotherapy, is indicated for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) following treatment with intravenous nivolumab and ipilimumab combination therapy.

•
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who have been previously treated with sorafenib following treatment with intravenous nivolumab and ipilimumab combination therapy.


Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of patients with unresectable or metastatic HCC.",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,non-small cell lung cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, in combination with platinum-doublet chemotherapy, is indicated as neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) non-small cell lung cancer (NSCLC).
 


1.5	Neoadjuvant and Adjuvant Treatment of Resectable Non-Small Cell Lung Cancer  
OPDIVO QVANTIG, in combination with platinum-doublet chemotherapy, is indicated for the neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) NSCLC and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements, followed by OPDIVO QVANTIG as monotherapy in the adjuvant setting after surgical resection.
 


1.6	Metastatic Non-Small Cell Lung Cancer  
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving OPDIVO QVANTIG.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of metastatic NSCLC.","EGFR, ALK, epidermal growth factor receptor",Yes,,,
Nivolumab and Hyaluronidase-nvhy,gastric (stomach) cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",,*,,,,
Nivolumab and Hyaluronidase-nvhy,melanoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with unresectable or metastatic melanoma.
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with unresectable or metastatic melanoma following treatment with intravenous nivolumab and ipilimumab combination therapy.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of unresectable or metastatic melanoma.
 


1.3	Adjuvant Treatment of Melanoma  
OPDIVO QVANTIG, as monotherapy, is indicated for the adjuvant treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with completely resected Stage IIB, Stage IIC, Stage III, or Stage IV melanoma.",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,urothelial carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, as monotherapy, is indicated for the adjuvant treatment of adult patients with urothelial carcinoma (UC) who are at high risk of recurrence after undergoing radical resection of UC.
OPDIVO QVANTIG, in combination with cisplatin and gemcitabine, is indicated for the first-line treatment of adult patients with unresectable or metastatic UC.
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with locally advanced or metastatic UC who:

•
have disease progression during or following platinum-containing chemotherapy.
•
have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,esophageal adenocarcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the treatment of adult patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.2)].",PD-L1,Yes,,,
Nivolumab and Hyaluronidase-nvhy,gastroesophageal junction cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the treatment of adult patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.2)].",PD-L1,Yes,,,
Nivolumab and Hyaluronidase-nvhy,renal cell carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG™, as monotherapy, is indicated for the first-line treatment of adult patients with intermediate or poor risk advanced renal cell carcinoma (RCC) following treatment with intravenous nivolumab and ipilimumab combination therapy.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of renal cell carcinoma.
OPDIVO QVANTIG, in combination with cabozantinib, is indicated for the first-line treatment of adult patients with advanced RCC.
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with advanced RCC who have received prior anti-angiogenic therapy.",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,squamous cell carcinoma of the head and neck,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) with disease progression on or after platinum-based therapy.",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,colorectal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","

OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC) following treatment with intravenous nivolumab and ipilimumab combination therapy.

OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater, with MSI-H or dMMR metastatic CRC that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of unresectable or metastatic MSI-H or dMMR CRC.",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,esophageal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG as monotherapy, is indicated for the adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in adult patients who have received neoadjuvant chemoradiotherapy (CRT).
OPDIVO QVANTIG, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.2)].

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of patients with unresectable advanced or metastatic ESCC.
OPDIVO QVANTIG as monotherapy, is indicated for the treatment of adult patients with unresectable advanced, recurrent, or metastatic ESCC after prior fluoropyrimidine- and platinum-based chemotherapy.",PD-L1,Yes,Yes,,
Nivolumab and Relatlimab-rmbw,Melanoma,OPDUALAG- nivolumab and relatlimab-rmbw injection,,*,,,,
Nogapendekin Alfa Inbakicept-pmln,Non-muscle–invasive bladder cancer,ANKTIVA- nogapendekin alfa inbakicept-pmln solution,,*,,,,
Romiplostim,Thrombocytopenia,"NPLATE- romiplostim injection, powder, lyophilized, for solution","
Nplate is indicated for the treatment of thrombocytopenia in:

Adult patients with immune thrombocytopenia (ITP) who have had an insufficient response to corticosteroids, immunoglobulins, or splenectomy.
Pediatric patients 1 year of age and older with ITP for at least 6 months who have had an insufficient response to corticosteroids, immunoglobulins, or splenectomy.",*,,,,
Darolutamide,Prostate cancer,"NUBEQA- darolutamide tablet, film coated",,*,,,,
Pegfilgrastim,Neutropenia,NEULASTA- pegfilgrastim kit,,*,,,,
Obecabtagene Autoleucel,B-cell acute lymphoblastic leukemia,AUCATZYL- obecabtagene autoleucel kit,,*,,,,
Obinutuzumab,Chronic lymphocytic leukemia,"GAZYVA- obinutuzumab injection, solution, concentrate","
GAZYVA, in combination with chlorambucil, is indicated for the treatment of patients with previously untreated chronic lymphocytic leukemia.",*,,Yes,,
Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate","
GAZYVA, in combination with bendamustine followed by GAZYVA monotherapy, is indicated for the treatment of patients with follicular lymphoma who relapsed after, or are refractory to, a rituximab-containing regimen.

GAZYVA, in combination with chemotherapy followed by GAZYVA monotherapy in patients achieving at least a partial remission, is indicated for the treatment of adult patients with previously untreated stage II bulky, III or IV follicular lymphoma.",*,,Yes,,
Sonidegib,Basal cell carcinoma,ODOMZO- sonidegib capsule,,*,,,,
Ofatumumab,Chronic lymphocytic leukemia,,,*,,,,
Nirogacestat Hydrobromide,Desmoid tumors,"OGSIVEO- nirogacestat tablet, film coated",,*,,,,
Tovorafenib,Glioma,OJEMDA- tovorafenib kit,,*,,,,
Momelotinib Dihydrochloride Monohydrate,Myelofibrosis,OJJAARA- momelotinib tablet,,*,,,,
Olaparib,primary peritoneal cancer,"LYNPARZA- olaparib tablet, film coated",,*,,,,
Olaparib,fallopian tube,"LYNPARZA- olaparib tablet, film coated",,*,,,,
Olaparib,Ovarian epithelial,"LYNPARZA- olaparib tablet, film coated",,*,,,,
Olaparib,Pancreatic cancer,"LYNPARZA- olaparib tablet, film coated",,*,,,,
Olaparib,Prostate cancer,"LYNPARZA- olaparib tablet, film coated","
Lynparza is indicated for the treatment of adult patients with deleterious or suspected deleterious germline or somatic homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC) who have progressed following prior treatment with enzalutamide or abiraterone. Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)].",Lynparza,Yes,,,
Olaparib,Breast cancer,"LYNPARZA- olaparib tablet, film coated",,*,,,,
Olutasidenib,Acute myeloid leukemia,REZLIDHIA- olutasidenib capsule,,*,,,,
Omacetaxine Mepesuccinate,Chronic myelogenous leukemia,,,*,,,,
Pegaspargase,Acute lymphoblastic leukemia,,,*,,,,
Ondansetron Hydrochloride,Nausea,,,*,,,,
Ondansetron Hydrochloride,vomiting,,,*,,,,
Irinotecan Sucrosofate,Pancreatic cancer,"ONIVYDE- irinotecan hydrochloride injection, powder, for solution",,*,,,,
Azacitidine,Acute myeloid leukemia,,,*,,,,
Azacitidine,Myelodysplastic syndromes,,,*,,,,
Nivolumab,hepatocellular carcinoma,OPDIVO- nivolumab injection,"

•

OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC). 

•
OPDIVO, in combination with ipilimumab, is indicated for the treatment of adult patients with unresectable or metastatic HCC who have been previously treated with sorafenib.",OPDIVO,Yes,Yes,,
Nivolumab,non-small cell lung cancer,OPDIVO- nivolumab injection,"
OPDIVO, in combination with platinum-doublet chemotherapy, is indicated as neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) non-small cell lung cancer (NSCLC).
 


1.4 Neoadjuvant and Adjuvant Treatment of Resectable Non-Small Cell Lung Cancer 
OPDIVO, in combination with platinum-doublet chemotherapy, is indicated for the neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) NSCLC and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements, followed by single-agent OPDIVO as adjuvant treatment after surgery.
 


1.5 Metastatic Non-Small Cell Lung Cancer 

•
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with metastatic NSCLC whose tumors express PD-L1 (≥1%) as determined by an FDA-authorized test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations.
•
OPDIVO, in combination with ipilimumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent NSCLC, with no EGFR or ALK genomic tumor aberrations.
•
OPDIVO is indicated for the treatment of adult patients with metastatic NSCLC with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving OPDIVO.","PD-L1, EGFR, ALK, epidermal growth factor receptor, OPDIVO",Yes,Yes,,
Nivolumab,gastric (stomach) cancer,OPDIVO- nivolumab injection,,*,,,,
Nivolumab,melanoma,OPDIVO- nivolumab injection,"
OPDIVO, as a single agent or in combination with ipilimumab, is indicated for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic melanoma.
 


1.2 Adjuvant Treatment of Melanoma 
OPDIVO is indicated for the adjuvant treatment of adult and pediatric patients 12 years and older with completely resected Stage IIB, Stage IIC, Stage III, or Stage IV melanoma.",OPDIVO,Yes,,,
Nivolumab,urothelial carcinoma,OPDIVO- nivolumab injection,"
OPDIVO is indicated for the adjuvant treatment of adult patients with urothelial carcinoma (UC) who are at high risk of recurrence after undergoing radical resection of UC [see Clinical Studies (14.10)].
OPDIVO, in combination with cisplatin and gemcitabine, is indicated for the first-line treatment of adult patients with unresectable or metastatic urothelial carcinoma.
OPDIVO is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma who:

•
have disease progression during or following platinum-containing chemotherapy.
•
have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.",OPDIVO,Yes,Yes,,
Nivolumab,malignant pleural mesothelioma,OPDIVO- nivolumab injection,"
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with unresectable malignant pleural mesothelioma.",OPDIVO,,Yes,,
Nivolumab,renal cell carcinoma,OPDIVO- nivolumab injection,"

•
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with intermediate or poor risk advanced RCC.
•
OPDIVO, in combination with cabozantinib, is indicated for the first-line treatment of adult patients with advanced RCC.
•
OPDIVO, as a single agent, is indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.",OPDIVO,Yes,Yes,,
Nivolumab,squamous cell carcinoma of the head and neck,OPDIVO- nivolumab injection,"
OPDIVO is indicated for the treatment of adult patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) with disease progression on or after platinum-based therapy.",OPDIVO,Yes,,,
Nivolumab,colorectal cancer,OPDIVO- nivolumab injection,"

•
OPDIVO, in combination with ipilimumab, is indicated for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC). 
•

OPDIVO, as a single agent, is indicated for the treatment of adult and pediatric patients 12 years and older with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer (CRC) that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan.",OPDIVO,Yes,,,
Nivolumab,gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,,*,,,,
Nivolumab,classic Hodgkin lymphoma,OPDIVO- nivolumab injection,,*,,,,
Nivolumab,esophageal cancer,OPDIVO- nivolumab injection,"

•
OPDIVO is indicated for the adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in adult patients who have received neoadjuvant chemoradiotherapy (CRT).
•
OPDIVO, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.1)].
•
OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.1)].
•
OPDIVO is indicated for the treatment of adult patients with unresectable advanced, recurrent or metastatic esophageal squamous cell carcinoma (ESCC) after prior fluoropyrimidine- and platinum-based chemotherapy.","PD-L1, OPDIVO",Yes,Yes,,
Nivolumab,esophageal cancer or gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,,*,,,,
Nivolumab and Hyaluronidase-nvhy,hepatocellular carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","

•

OPDIVO QVANTIG, as monotherapy, is indicated for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) following treatment with intravenous nivolumab and ipilimumab combination therapy.

•
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who have been previously treated with sorafenib following treatment with intravenous nivolumab and ipilimumab combination therapy.


Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of patients with unresectable or metastatic HCC.",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,non-small cell lung cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, in combination with platinum-doublet chemotherapy, is indicated as neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) non-small cell lung cancer (NSCLC).
 


1.5	Neoadjuvant and Adjuvant Treatment of Resectable Non-Small Cell Lung Cancer  
OPDIVO QVANTIG, in combination with platinum-doublet chemotherapy, is indicated for the neoadjuvant treatment of adult patients with resectable (tumors ≥4 cm or node positive) NSCLC and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements, followed by OPDIVO QVANTIG as monotherapy in the adjuvant setting after surgical resection.
 


1.6	Metastatic Non-Small Cell Lung Cancer  
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving OPDIVO QVANTIG.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of metastatic NSCLC.","EGFR, ALK, epidermal growth factor receptor",Yes,,,
Nivolumab and Hyaluronidase-nvhy,gastric (stomach) cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",,*,,,,
Nivolumab and Hyaluronidase-nvhy,melanoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with unresectable or metastatic melanoma.
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with unresectable or metastatic melanoma following treatment with intravenous nivolumab and ipilimumab combination therapy.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of unresectable or metastatic melanoma.
 


1.3	Adjuvant Treatment of Melanoma  
OPDIVO QVANTIG, as monotherapy, is indicated for the adjuvant treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with completely resected Stage IIB, Stage IIC, Stage III, or Stage IV melanoma.",*,Yes,,,
